time,region,payment,weekend,category,customer
1/6/2020,Quận Phú Nhuận,15389000,FALSE,C45,497
1/6/2020,Quận 3,81961000,FALSE,C25,198
1/6/2020,Quận Bình Thạnh,26848000,FALSE,C33,10
1/6/2020,Quận Gò Vấp,70517000,FALSE,C24,413
1/6/2020,Quận 6,81080000,FALSE,C27,293
1/7/2020,Quận 2,35129000,FALSE,C29,373
1/7/2020,Quận Thủ Đức,73698000,FALSE,C42,414
1/7/2020,Quận Tân Bình,38105000,FALSE,C30,366
1/7/2020,Quận 4,92556000,FALSE,C36,83
1/7/2020,Quận Tân Bình,69250000,FALSE,C46,47
1/7/2020,Quận 10,82693000,FALSE,C41,74
1/7/2020,Quận 2,34692000,FALSE,C40,243
1/7/2020,Quận Tân Bình,8531000,FALSE,C9,465
1/7/2020,Quận 6,33893000,FALSE,C22,42
1/7/2020,Quận 3,10831000,FALSE,C49,268
1/7/2020,Quận 9,80017000,FALSE,C12,396
1/7/2020,Quận 6,1849000,FALSE,C46,184
1/7/2020,Quận 9,9549000,FALSE,C21,393
1/7/2020,Quận 3,65958000,FALSE,C17,401
1/7/2020,Quận Phú Nhuận,68819000,FALSE,C5,43
1/7/2020,Quận Thủ Đức,39295000,FALSE,C8,128
1/7/2020,Quận 8,62689000,FALSE,C14,255
1/8/2020,Quận Bình Thạnh,30234000,FALSE,C2,302
1/8/2020,Quận 1,29398000,FALSE,C2,315
1/8/2020,Quận 6,28355000,FALSE,C40,84
1/8/2020,Quận 1,80064000,FALSE,C18,421
1/8/2020,Quận Gò Vấp,15256000,FALSE,C49,438
1/8/2020,Quận 6,7078000,FALSE,C39,455
1/8/2020,Quận Bình Tân,41296000,FALSE,C12,67
1/9/2020,Quận 5,72159000,FALSE,C13,73
1/9/2020,Quận Tân Phú,10308000,FALSE,C24,255
1/9/2020,Quận 12,70979000,FALSE,C30,417
1/9/2020,Quận 3,29389000,FALSE,C22,207
1/9/2020,Quận Phú Nhuận,93918000,FALSE,C25,216
1/9/2020,Quận Gò Vấp,75945000,FALSE,C31,386
1/9/2020,Quận Bình Thạnh,71951000,FALSE,C38,399
1/9/2020,Quận 3,52542000,FALSE,C44,204
1/9/2020,Quận 10,19872000,FALSE,C1,191
1/9/2020,Quận Gò Vấp,20953000,FALSE,C4,129
1/9/2020,Quận 6,7292000,FALSE,C17,86
1/10/2020,Quận Gò Vấp,71519000,FALSE,C27,260
1/10/2020,Quận Tân Bình,40457000,FALSE,C13,129
1/10/2020,Quận 7,68061000,FALSE,C42,35
1/10/2020,Quận Tân Phú,67222000,FALSE,C32,65
1/10/2020,Quận 10,56283000,FALSE,C20,233
1/10/2020,Quận Gò Vấp,96340000,FALSE,C49,410
1/10/2020,Quận Phú Nhuận,34774000,FALSE,C26,215
1/10/2020,Quận 1,436000,FALSE,C34,376
1/10/2020,Quận 3,47518000,FALSE,C31,365
1/10/2020,Quận 4,22009000,FALSE,C4,344
1/10/2020,Quận 1,47785000,FALSE,C44,230
1/11/2020,Quận Thủ Đức,16536000,TRUE,C31,265
1/11/2020,Quận 8,64810000,TRUE,C37,431
1/11/2020,Quận 3,88485000,TRUE,C18,84
1/11/2020,Quận Tân Phú,87178000,TRUE,C46,92
1/11/2020,Quận Thủ Đức,29872000,TRUE,C10,325
1/11/2020,Quận 3,76709000,TRUE,C34,130
1/11/2020,Quận Bình Thạnh,38181000,TRUE,C40,335
1/11/2020,Quận Gò Vấp,18864000,TRUE,C3,66
1/11/2020,Quận 2,46019000,TRUE,C27,458
1/11/2020,Quận 11,57007000,TRUE,C16,95
1/11/2020,Quận 12,93137000,TRUE,C5,150
1/11/2020,Quận Bình Thạnh,32310000,TRUE,C28,130
1/11/2020,Quận 2,62262000,TRUE,C39,415
1/11/2020,Quận Phú Nhuận,84087000,TRUE,C36,281
1/11/2020,Quận Gò Vấp,77174000,TRUE,C38,342
1/11/2020,Quận Phú Nhuận,21352000,TRUE,C17,415
1/12/2020,Quận Thủ Đức,56574000,TRUE,C8,93
1/12/2020,Quận 3,74087000,TRUE,C23,359
1/12/2020,Quận 10,45728000,TRUE,C21,33
1/12/2020,Quận 6,16559000,TRUE,C21,176
1/12/2020,Quận 2,8468000,TRUE,C43,425
1/12/2020,Quận 11,30970000,TRUE,C12,143
1/12/2020,Quận Phú Nhuận,69127000,TRUE,C12,45
1/12/2020,Quận 2,59306000,TRUE,C15,322
1/12/2020,Quận Bình Tân,73570000,TRUE,C39,275
1/12/2020,Quận 11,77422000,TRUE,C4,436
1/12/2020,Quận 10,15830000,TRUE,C35,262
1/12/2020,Quận Tân Phú,32372000,TRUE,C40,290
1/12/2020,Quận 8,64284000,TRUE,C11,257
1/12/2020,Quận 4,85462000,TRUE,C25,467
1/12/2020,Quận 3,54214000,TRUE,C22,239
1/12/2020,Quận Thủ Đức,38057000,TRUE,C37,182
1/12/2020,Quận 2,94835000,TRUE,C33,454
1/12/2020,Quận Tân Phú,37508000,TRUE,C36,423
1/12/2020,Quận Phú Nhuận,21779000,TRUE,C39,32
1/13/2020,Quận 7,61082000,FALSE,C36,310
1/13/2020,Quận Thủ Đức,15690000,FALSE,C38,334
1/13/2020,Quận 2,63507000,FALSE,C34,35
1/13/2020,Quận 10,18798000,FALSE,C27,35
1/13/2020,Quận Tân Bình,86075000,FALSE,C26,198
1/13/2020,Quận 10,54769000,FALSE,C18,88
1/13/2020,Quận Gò Vấp,7438000,FALSE,C21,405
1/13/2020,Quận 7,26233000,FALSE,C37,459
1/13/2020,Quận 9,38429000,FALSE,C22,74
1/13/2020,Quận 2,73708000,FALSE,C28,396
1/13/2020,Quận Bình Thạnh,10035000,FALSE,C33,313
1/13/2020,Quận Thủ Đức,22697000,FALSE,C27,132
1/14/2020,Quận 3,59205000,FALSE,C5,84
1/14/2020,Quận Bình Thạnh,91559000,FALSE,C30,471
1/14/2020,Quận 1,77538000,FALSE,C37,349
1/14/2020,Quận 9,4145000,FALSE,C22,409
1/14/2020,Quận 5,6850000,FALSE,C48,380
1/14/2020,Quận 8,62202000,FALSE,C25,337
1/14/2020,Quận Tân Phú,48287000,FALSE,C37,364
1/14/2020,Quận 8,8967000,FALSE,C36,345
1/14/2020,Quận 10,68178000,FALSE,C43,336
1/14/2020,Quận 7,91740000,FALSE,C8,94
1/15/2020,Quận 2,91743000,FALSE,C8,496
1/15/2020,Quận 7,84420000,FALSE,C11,211
1/15/2020,Quận 3,8267000,FALSE,C8,33
1/15/2020,Quận 4,57762000,FALSE,C19,474
1/15/2020,Quận 3,8688000,FALSE,C45,106
1/15/2020,Quận Thủ Đức,96004000,FALSE,C1,487
1/15/2020,Quận Phú Nhuận,47079000,FALSE,C21,5
1/15/2020,Quận Phú Nhuận,51624000,FALSE,C12,124
1/15/2020,Quận 9,59481000,FALSE,C37,212
1/15/2020,Quận Thủ Đức,4980000,FALSE,C36,318
1/16/2020,Quận 6,56233000,FALSE,C37,359
1/16/2020,Quận Bình Thạnh,40679000,FALSE,C25,359
1/16/2020,Quận 1,2466000,FALSE,C38,74
1/16/2020,Quận Thủ Đức,86290000,FALSE,C45,494
1/16/2020,Quận 1,1795000,FALSE,C17,81
1/16/2020,Quận 6,30061000,FALSE,C39,268
1/16/2020,Quận Bình Thạnh,80716000,FALSE,C17,207
1/16/2020,Quận 9,75620000,FALSE,C38,415
1/16/2020,Quận 6,76560000,FALSE,C5,207
1/16/2020,Quận 12,16352000,FALSE,C18,83
1/16/2020,Quận 5,91476000,FALSE,C22,70
1/16/2020,Quận 3,77732000,FALSE,C36,225
1/16/2020,Quận 4,58553000,FALSE,C34,76
1/16/2020,Quận 2,16546000,FALSE,C20,364
1/16/2020,Quận Tân Phú,44069000,FALSE,C21,479
1/16/2020,Quận Tân Phú,21048000,FALSE,C19,48
1/16/2020,Quận Bình Tân,90718000,FALSE,C32,472
1/16/2020,Quận 11,23936000,FALSE,C3,157
1/17/2020,Quận 12,70598000,FALSE,C1,286
1/17/2020,Quận 6,64302000,FALSE,C44,480
1/17/2020,Quận 6,87341000,FALSE,C16,258
1/17/2020,Quận 12,23856000,FALSE,C32,473
1/17/2020,Quận 4,38778000,FALSE,C37,305
1/17/2020,Quận Tân Phú,68454000,FALSE,C33,241
1/17/2020,Quận 2,23169000,FALSE,C25,45
1/17/2020,Quận 8,38536000,FALSE,C43,26
1/17/2020,Quận 4,72173000,FALSE,C21,389
1/17/2020,Quận Tân Phú,53116000,FALSE,C11,471
1/17/2020,Quận Tân Bình,95525000,FALSE,C3,430
1/18/2020,Quận 2,74200000,TRUE,C37,414
1/18/2020,Quận 1,58200000,TRUE,C7,380
1/18/2020,Quận 4,81443000,TRUE,C19,408
1/18/2020,Quận Tân Bình,39520000,TRUE,C37,217
1/18/2020,Quận 11,55548000,TRUE,C4,181
1/18/2020,Quận 10,78957000,TRUE,C33,361
1/18/2020,Quận 2,21263000,TRUE,C49,162
1/18/2020,Quận 5,60775000,TRUE,C3,283
1/18/2020,Quận Thủ Đức,74381000,TRUE,C8,24
1/18/2020,Quận 9,17725000,TRUE,C42,238
1/19/2020,Quận Tân Bình,69858000,TRUE,C5,147
1/19/2020,Quận 12,80552000,TRUE,C27,392
1/19/2020,Quận 5,96916000,TRUE,C32,319
1/19/2020,Quận Thủ Đức,40936000,TRUE,C21,369
1/19/2020,Quận Bình Tân,58178000,TRUE,C8,67
1/19/2020,Quận Thủ Đức,34756000,TRUE,C21,281
1/19/2020,Quận Thủ Đức,47292000,TRUE,C13,109
1/19/2020,Quận Tân Bình,6722000,TRUE,C23,122
1/20/2020,Quận Gò Vấp,89082000,FALSE,C24,247
1/20/2020,Quận Gò Vấp,49319000,FALSE,C19,361
1/20/2020,Quận 6,25211000,FALSE,C45,430
1/20/2020,Quận 1,21938000,FALSE,C22,184
1/20/2020,Quận Thủ Đức,49235000,FALSE,C45,393
1/20/2020,Quận Tân Phú,5496000,FALSE,C35,83
1/20/2020,Quận Gò Vấp,62563000,FALSE,C8,466
1/20/2020,Quận 2,50021000,FALSE,C10,300
1/20/2020,Quận 6,43484000,FALSE,C24,470
1/21/2020,Quận 9,41709000,FALSE,C17,326
1/21/2020,Quận 9,79300000,FALSE,C39,72
1/21/2020,Quận Gò Vấp,74623000,FALSE,C24,198
1/21/2020,Quận 3,88176000,FALSE,C20,416
1/21/2020,Quận 2,91162000,FALSE,C35,80
1/21/2020,Quận 3,98280000,FALSE,C19,233
1/21/2020,Quận Phú Nhuận,43827000,FALSE,C21,375
1/21/2020,Quận Thủ Đức,22317000,FALSE,C10,253
1/21/2020,Quận 4,88258000,FALSE,C39,401
1/21/2020,Quận Thủ Đức,54469000,FALSE,C37,366
1/21/2020,Quận 12,76038000,FALSE,C49,291
1/21/2020,Quận 2,64948000,FALSE,C13,375
1/21/2020,Quận Gò Vấp,58155000,FALSE,C34,231
1/21/2020,Quận Thủ Đức,87641000,FALSE,C8,215
1/21/2020,Quận 1,87196000,FALSE,C17,217
1/21/2020,Quận Tân Phú,64061000,FALSE,C47,145
1/21/2020,Quận 9,3478000,FALSE,C25,497
1/21/2020,Quận 5,31548000,FALSE,C15,45
1/21/2020,Quận 1,97795000,FALSE,C39,39
1/22/2020,Quận 10,19829000,FALSE,C47,210
1/22/2020,Quận 7,93012000,FALSE,C15,186
1/22/2020,Quận 10,80721000,FALSE,C48,489
1/22/2020,Quận 9,32065000,FALSE,C35,298
1/22/2020,Quận Bình Thạnh,25260000,FALSE,C23,408
1/22/2020,Quận 2,40689000,FALSE,C10,139
1/22/2020,Quận 2,80189000,FALSE,C44,492
1/22/2020,Quận 11,20735000,FALSE,C46,487
1/22/2020,Quận Gò Vấp,74161000,FALSE,C34,95
1/22/2020,Quận 10,92533000,FALSE,C27,105
1/22/2020,Quận Bình Tân,83186000,FALSE,C19,314
1/22/2020,Quận 10,68448000,FALSE,C22,66
1/22/2020,Quận 6,63501000,FALSE,C33,245
1/22/2020,Quận 5,72308000,FALSE,C9,78
1/22/2020,Quận 8,11889000,FALSE,C11,173
1/22/2020,Quận Gò Vấp,6080000,FALSE,C42,471
1/22/2020,Quận 7,4580000,FALSE,C6,425
1/22/2020,Quận Bình Thạnh,48405000,FALSE,C17,385
1/22/2020,Quận Thủ Đức,51335000,FALSE,C12,491
1/22/2020,Quận 5,30901000,FALSE,C9,312
1/23/2020,Quận 4,38370000,FALSE,C37,125
1/23/2020,Quận Tân Phú,5314000,FALSE,C6,249
1/23/2020,Quận Tân Bình,24635000,FALSE,C19,119
1/23/2020,Quận 3,53286000,FALSE,C40,78
1/23/2020,Quận 7,95520000,FALSE,C26,4
1/23/2020,Quận 11,55726000,FALSE,C18,17
1/23/2020,Quận Bình Tân,92208000,FALSE,C23,161
1/23/2020,Quận Phú Nhuận,54272000,FALSE,C36,190
1/23/2020,Quận 4,77149000,FALSE,C17,456
1/23/2020,Quận 12,1677000,FALSE,C31,81
1/23/2020,Quận 10,49479000,FALSE,C3,170
1/23/2020,Quận 5,78505000,FALSE,C49,4
1/23/2020,Quận Gò Vấp,24392000,FALSE,C42,119
1/23/2020,Quận 11,64957000,FALSE,C5,241
1/23/2020,Quận 1,56051000,FALSE,C12,42
1/23/2020,Quận 5,93547000,FALSE,C36,2
1/24/2020,Quận 6,42373000,FALSE,C43,316
1/24/2020,Quận Tân Bình,1184000,FALSE,C28,375
1/24/2020,Quận 12,65287000,FALSE,C24,269
1/24/2020,Quận 11,86575000,FALSE,C41,282
1/24/2020,Quận 12,46805000,FALSE,C7,293
1/24/2020,Quận Bình Tân,20917000,FALSE,C29,206
1/24/2020,Quận Phú Nhuận,52838000,FALSE,C27,424
1/24/2020,Quận 9,34010000,FALSE,C7,310
1/24/2020,Quận Thủ Đức,51881000,FALSE,C24,18
1/24/2020,Quận 6,17943000,FALSE,C5,458
1/24/2020,Quận Thủ Đức,81391000,FALSE,C22,387
1/24/2020,Quận 9,47953000,FALSE,C39,408
1/25/2020,Quận Thủ Đức,84778000,TRUE,C12,35
1/25/2020,Quận Tân Bình,59579000,TRUE,C3,151
1/25/2020,Quận 5,81259000,TRUE,C16,93
1/25/2020,Quận 1,61850000,TRUE,C2,57
1/25/2020,Quận 2,46061000,TRUE,C45,130
1/25/2020,Quận 7,92032000,TRUE,C25,468
1/25/2020,Quận Bình Tân,80417000,TRUE,C20,198
1/25/2020,Quận Bình Thạnh,73968000,TRUE,C38,244
1/25/2020,Quận Tân Phú,35224000,TRUE,C48,365
1/25/2020,Quận Tân Phú,3917000,TRUE,C5,89
1/25/2020,Quận 12,81741000,TRUE,C39,28
1/25/2020,Quận Bình Thạnh,46252000,TRUE,C15,499
1/26/2020,Quận 6,64239000,TRUE,C1,4
1/26/2020,Quận Tân Bình,6148000,TRUE,C15,487
1/26/2020,Quận 3,32348000,TRUE,C33,400
1/26/2020,Quận Phú Nhuận,41253000,TRUE,C34,203
1/26/2020,Quận Gò Vấp,65125000,TRUE,C22,81
1/26/2020,Quận Thủ Đức,89096000,TRUE,C27,69
1/26/2020,Quận Thủ Đức,29185000,TRUE,C38,62
1/26/2020,Quận Tân Phú,21818000,TRUE,C20,46
1/26/2020,Quận 4,15766000,TRUE,C28,142
1/26/2020,Quận 6,25647000,TRUE,C32,354
1/26/2020,Quận Thủ Đức,47281000,TRUE,C19,181
1/26/2020,Quận 4,88791000,TRUE,C10,258
1/26/2020,Quận 8,67787000,TRUE,C19,366
1/27/2020,Quận Bình Thạnh,64256000,FALSE,C26,51
1/27/2020,Quận 1,21086000,FALSE,C11,175
1/27/2020,Quận Phú Nhuận,83752000,FALSE,C27,106
1/27/2020,Quận 7,40439000,FALSE,C22,298
1/27/2020,Quận Tân Bình,42129000,FALSE,C14,346
1/27/2020,Quận 6,86021000,FALSE,C46,253
1/27/2020,Quận 8,48288000,FALSE,C34,25
1/27/2020,Quận 8,53803000,FALSE,C23,306
1/27/2020,Quận 5,94737000,FALSE,C20,212
1/27/2020,Quận Gò Vấp,50477000,FALSE,C28,392
1/27/2020,Quận 10,15037000,FALSE,C13,477
1/27/2020,Quận 3,22932000,FALSE,C29,415
1/27/2020,Quận 10,33348000,FALSE,C25,281
1/27/2020,Quận 5,60670000,FALSE,C8,473
1/27/2020,Quận 1,28993000,FALSE,C27,34
1/27/2020,Quận 2,88448000,FALSE,C39,319
1/28/2020,Quận Gò Vấp,72896000,FALSE,C36,278
1/28/2020,Quận 12,74331000,FALSE,C1,81
1/28/2020,Quận 9,97648000,FALSE,C38,347
1/28/2020,Quận Tân Bình,67828000,FALSE,C23,28
1/28/2020,Quận Bình Thạnh,2637000,FALSE,C1,485
1/28/2020,Quận 10,68277000,FALSE,C6,262
1/28/2020,Quận 1,41321000,FALSE,C49,24
1/28/2020,Quận Bình Tân,47086000,FALSE,C18,90
1/28/2020,Quận Phú Nhuận,26295000,FALSE,C42,47
1/28/2020,Quận 1,54578000,FALSE,C44,63
1/28/2020,Quận Bình Tân,73121000,FALSE,C44,149
1/28/2020,Quận 2,63387000,FALSE,C47,465
1/28/2020,Quận Tân Phú,68223000,FALSE,C26,218
1/28/2020,Quận 10,87278000,FALSE,C33,69
1/29/2020,Quận Thủ Đức,92117000,FALSE,C6,416
1/29/2020,Quận 2,73975000,FALSE,C18,478
1/29/2020,Quận 4,82228000,FALSE,C11,193
1/29/2020,Quận 4,7364000,FALSE,C22,91
1/29/2020,Quận 5,20830000,FALSE,C10,457
1/29/2020,Quận 6,16063000,FALSE,C4,168
1/29/2020,Quận 4,15718000,FALSE,C39,215
1/29/2020,Quận 2,60741000,FALSE,C31,237
1/29/2020,Quận Bình Thạnh,73428000,FALSE,C11,248
1/29/2020,Quận 10,65033000,FALSE,C9,448
1/29/2020,Quận 2,18745000,FALSE,C38,137
1/29/2020,Quận Phú Nhuận,8915000,FALSE,C44,216
1/29/2020,Quận 4,5048000,FALSE,C13,468
1/29/2020,Quận 2,68687000,FALSE,C22,157
1/30/2020,Quận 11,39500000,FALSE,C24,471
1/30/2020,Quận 2,19102000,FALSE,C1,214
1/30/2020,Quận 11,30388000,FALSE,C44,115
1/30/2020,Quận Thủ Đức,57503000,FALSE,C16,241
1/30/2020,Quận 6,31540000,FALSE,C32,256
1/30/2020,Quận Gò Vấp,54800000,FALSE,C24,168
1/30/2020,Quận 4,26955000,FALSE,C28,416
1/30/2020,Quận 2,25912000,FALSE,C5,296
1/30/2020,Quận Tân Phú,40373000,FALSE,C31,165
1/30/2020,Quận Gò Vấp,72685000,FALSE,C1,144
1/30/2020,Quận Bình Thạnh,73416000,FALSE,C39,464
1/31/2020,Quận 11,66576000,FALSE,C46,152
1/31/2020,Quận 12,67731000,FALSE,C14,53
1/31/2020,Quận 1,16805000,FALSE,C12,411
1/31/2020,Quận 4,65203000,FALSE,C41,360
1/31/2020,Quận 8,96354000,FALSE,C6,92
1/31/2020,Quận 12,38367000,FALSE,C9,482
1/31/2020,Quận 10,66465000,FALSE,C11,17
1/31/2020,Quận 10,60972000,FALSE,C40,326
1/31/2020,Quận 8,19735000,FALSE,C23,498
1/31/2020,Quận Phú Nhuận,43994000,FALSE,C43,220
1/31/2020,Quận 2,65585000,FALSE,C12,137
1/31/2020,Quận 1,88373000,FALSE,C18,449
1/31/2020,Quận 9,36420000,FALSE,C14,437
1/31/2020,Quận 4,88799000,FALSE,C49,48
1/31/2020,Quận 10,26421000,FALSE,C11,334
1/31/2020,Quận 9,82294000,FALSE,C6,330
1/31/2020,Quận 11,12346000,FALSE,C43,332
2/1/2020,Quận Bình Tân,90655000,TRUE,C31,458
2/1/2020,Quận Phú Nhuận,59057000,TRUE,C25,164
2/1/2020,Quận 2,10844000,TRUE,C33,83
2/1/2020,Quận 3,91116000,TRUE,C25,159
2/1/2020,Quận 5,5830000,TRUE,C35,61
2/1/2020,Quận 4,22442000,TRUE,C43,61
2/1/2020,Quận Tân Phú,2754000,TRUE,C41,215
2/1/2020,Quận 3,50803000,TRUE,C29,245
2/1/2020,Quận 10,71917000,TRUE,C19,281
2/1/2020,Quận 8,33094000,TRUE,C35,88
2/1/2020,Quận 11,60646000,TRUE,C37,124
2/1/2020,Quận 12,83047000,TRUE,C5,126
2/1/2020,Quận Thủ Đức,8571000,TRUE,C20,399
2/1/2020,Quận Tân Phú,24012000,TRUE,C12,183
2/1/2020,Quận 5,89822000,TRUE,C8,275
2/1/2020,Quận Gò Vấp,16194000,TRUE,C15,486
2/2/2020,Quận 4,73822000,TRUE,C13,74
2/2/2020,Quận Tân Bình,31497000,TRUE,C25,370
2/2/2020,Quận Bình Thạnh,1956000,TRUE,C15,490
2/2/2020,Quận Gò Vấp,28091000,TRUE,C34,426
2/2/2020,Quận 11,32006000,TRUE,C33,354
2/2/2020,Quận 2,16393000,TRUE,C41,423
2/2/2020,Quận Tân Bình,23762000,TRUE,C35,6
2/2/2020,Quận 11,47861000,TRUE,C43,198
2/2/2020,Quận 7,10148000,TRUE,C22,303
2/2/2020,Quận Phú Nhuận,74785000,TRUE,C11,207
2/3/2020,Quận Bình Thạnh,60613000,FALSE,C12,162
2/3/2020,Quận 1,75439000,FALSE,C19,481
2/3/2020,Quận Bình Thạnh,35198000,FALSE,C21,297
2/3/2020,Quận 6,86847000,FALSE,C42,81
2/3/2020,Quận 7,68452000,FALSE,C15,133
2/3/2020,Quận Gò Vấp,21993000,FALSE,C33,368
2/3/2020,Quận 6,44138000,FALSE,C19,461
2/3/2020,Quận Phú Nhuận,55693000,FALSE,C18,417
2/3/2020,Quận Gò Vấp,6136000,FALSE,C2,62
2/3/2020,Quận Gò Vấp,86820000,FALSE,C30,422
2/3/2020,Quận Tân Phú,5301000,FALSE,C28,173
2/3/2020,Quận 2,61731000,FALSE,C15,37
2/3/2020,Quận Phú Nhuận,86349000,FALSE,C43,385
2/3/2020,Quận 2,36570000,FALSE,C7,426
2/3/2020,Quận 5,95713000,FALSE,C5,16
2/4/2020,Quận 12,61124000,FALSE,C7,226
2/4/2020,Quận Phú Nhuận,99041000,FALSE,C38,421
2/4/2020,Quận 2,23166000,FALSE,C38,112
2/4/2020,Quận 9,70284000,FALSE,C29,364
2/4/2020,Quận 6,28352000,FALSE,C49,294
2/4/2020,Quận 6,65179000,FALSE,C29,82
2/4/2020,Quận 12,53150000,FALSE,C41,75
2/4/2020,Quận 12,4785000,FALSE,C48,393
2/4/2020,Quận 7,79871000,FALSE,C25,55
2/4/2020,Quận Phú Nhuận,97335000,FALSE,C21,426
2/5/2020,Quận 1,80706000,FALSE,C5,147
2/5/2020,Quận 11,48295000,FALSE,C25,84
2/5/2020,Quận Tân Phú,17824000,FALSE,C26,265
2/5/2020,Quận Tân Bình,35012000,FALSE,C12,330
2/5/2020,Quận Gò Vấp,896000,FALSE,C9,229
2/5/2020,Quận Tân Phú,71908000,FALSE,C4,78
2/5/2020,Quận 10,23998000,FALSE,C5,134
2/5/2020,Quận 5,66450000,FALSE,C24,461
2/5/2020,Quận Gò Vấp,77970000,FALSE,C43,192
2/5/2020,Quận 2,60749000,FALSE,C48,391
2/5/2020,Quận 1,47629000,FALSE,C36,70
2/5/2020,Quận 9,43264000,FALSE,C10,476
